2019-09-27 21:54:42,135 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569610474.014417} - Response: {'action': 'echo', 'time': 1569610469.986195, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 15:40:28,745 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qe', 'time': 1569674425.709889} - Response: {'action': 'echo', 'time': 1569674414.82601, 'code': 200, 'data': 'qe', 'key': None}
2019-09-28 15:40:37,138 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': 'qwe', 'time': 1569674431.366753} - Response: {'action': 'server shutdown', 'time': 1569674414.82601, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 15:40:49,754 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569674444.539508} - Response: {'action': 'server shutdown', 'time': 1569674414.82601, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 15:42:13,890 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569674530.86154} - Response: {'action': 'echo', 'time': 1569674520.375597, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 15:42:21,649 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569674535.157047} - Response: {'action': 'server shutdown', 'time': 1569674520.375597, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 15:43:19,497 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '', 'time': 1569674592.132604} - Response: {'action': 'server shutdown', 'time': 1569674590.392257, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 15:43:26,417 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569674600.884184} - Response: {'action': 'server shutdown', 'time': 1569674590.392257, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 15:47:41,081 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Privet', 'time': 1569674855.347158} - Response: {'action': 'echo', 'time': 1569674851.549272, 'code': 200, 'data': 'Privet', 'key': None}
2019-09-28 15:47:53,985 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569674868.24994} - Response: {'action': 'server shutdown', 'time': 1569674851.549272, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 16:59:15,041 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569679128.02745} - Response: {'action': 'timestamp', 'time': 1569679110.546224, 'code': 200, 'data': 1569679155.041171, 'key': None}
2019-09-28 16:59:26,044 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '', 'time': 1569679128.02745} - Response: {'action': 'server shutdown', 'time': 1569679110.546224, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 16:59:39,048 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569679128.02745} - Response: {'action': 'server shutdown', 'time': 1569679110.546224, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:04:59,938 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569679490.932445} - Response: {'action': 'echo', 'time': 1569679489.034524, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:05:03,942 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569679490.932445} - Response: {'action': 'timestamp', 'time': 1569679489.034524, 'code': 200, 'data': 1569679503.942636, 'key': None}
2019-09-28 17:06:01,965 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': 'qwe', 'time': 1569679490.932445} - Response: {'action': 'server shutdown', 'time': 1569679489.034524, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:06:20,974 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569679490.932445} - Response: {'action': 'server shutdown', 'time': 1569679489.034524, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:10:26,669 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569679802.621476} - Response: {'action': 'echo', 'time': 1569679746.151569, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:10:38,673 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569679802.621476} - Response: {'action': 'timestamp', 'time': 1569679746.151569, 'code': 200, 'data': 1569679838.673019, 'key': None}
2019-09-28 17:11:03,685 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '1234', 'time': 1569679802.621476} - Response: {'action': 'server shutdown', 'time': 1569679746.151569, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:11:12,688 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569679802.621476} - Response: {'action': 'server shutdown', 'time': 1569679746.151569, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:16:46,384 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569680203.380188} - Response: {'action': 'echo', 'time': 1569680177.737798, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:17:07,390 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '', 'time': 1569680203.380188} - Response: {'action': 'server shutdown', 'time': 1569680177.737798, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:17:23,396 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569680203.380188} - Response: {'action': 'server shutdown', 'time': 1569680177.737798, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:19:01,603 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569680336.598742} - Response: {'action': 'echo', 'time': 1569680321.311645, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:19:07,605 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569680336.598742} - Response: {'action': 'timestamp', 'time': 1569680321.311645, 'code': 200, 'data': 1569680347.605293, 'key': None}
2019-09-28 17:19:14,607 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569680336.598742} - Response: {'action': 'server shutdown', 'time': 1569680321.311645, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:34:26,789 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569681262.001559} - Response: {'action': 'echo', 'time': 1569681217.240324, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:34:37,861 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'qwe', 'time': 1569681262.001559} - Response: {'action': 'timestamp', 'time': 1569681217.240324, 'code': 200, 'data': 1569681277.861124, 'key': None}
2019-09-28 17:35:09,421 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': 'q', 'time': 1569681262.001559} - Response: {'action': 'server shutdown', 'time': 1569681217.240324, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:35:20,333 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569681262.001559} - Response: {'action': 'server shutdown', 'time': 1569681217.240324, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:41:54,964 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qw', 'time': 1569681709.319695} - Response: {'action': 'echo', 'time': 1569681701.29716, 'code': 200, 'data': 'qw', 'key': None}
2019-09-28 17:42:04,436 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569681709.319695} - Response: {'action': 'timestamp', 'time': 1569681701.29716, 'code': 200, 'data': 1569681724.436248, 'key': None}
2019-09-28 17:42:14,444 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569681709.319695} - Response: {'action': 'server shutdown', 'time': 1569681701.29716, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:47:07,708 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '1345', 'time': 1569682021.846136} - Response: {'action': 'server shutdown', 'time': 1569682007.983229, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:47:40,692 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569682057.421948} - Response: {'action': 'echo', 'time': 1569682048.461922, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 17:47:49,588 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': 'q', 'time': 1569682057.421948} - Response: {'action': 'server shutdown', 'time': 1569682048.461922, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:48:00,683 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569682057.421948} - Response: {'action': 'server shutdown', 'time': 1569682048.461922, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 17:48:55,844 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '123', 'time': 1569682124.215233} - Response: {'action': 'server shutdown', 'time': 1569682100.764978, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-28 17:49:18,051 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569682124.215233} - Response: {'action': 'server shutdown', 'time': 1569682100.764978, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 18:24:47,463 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qe', 'time': 1569684284.722851} - Response: {'action': 'echo', 'time': 1569684277.056364, 'code': 200, 'data': 'qe', 'key': None}
2019-09-28 18:24:59,407 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'qwe', 'time': 1569684284.722851} - Response: {'action': 'timestamp', 'time': 1569684277.056364, 'code': 200, 'data': 1569684299.40756, 'key': None}
2019-09-28 18:25:05,679 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569684284.722851} - Response: {'action': 'server shutdown', 'time': 1569684277.056364, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-28 18:28:26,079 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569684502.567975} - Response: {'action': 'echo', 'time': 1569684497.010843, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-28 18:28:31,184 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569684502.567975} - Response: {'action': 'timestamp', 'time': 1569684497.010843, 'code': 200, 'data': 1569684511.184919, 'key': None}
2019-09-28 18:28:38,943 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569684502.567975} - Response: {'action': 'server shutdown', 'time': 1569684497.010843, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 14:56:31,159 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569758186.752714} - Response: {'action': 'echo', 'time': 1569758160.934609, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 14:56:56,415 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569758186.752714} - Response: {'action': 'server shutdown', 'time': 1569758160.934609, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 17:30:32,551 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'test', 'time': 1569767427.700598} - Response: {'action': 'echo', 'time': 1569767421.874187, 'code': 200, 'data': 'test', 'key': None}
2019-09-29 17:30:49,774 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '1345', 'time': 1569767427.700598} - Response: {'action': 'server shutdown', 'time': 1569767421.874187, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-29 17:31:06,854 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569767427.700598} - Response: {'action': 'server shutdown', 'time': 1569767421.874187, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 17:41:14,910 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Test', 'time': 1569768060.364187} - Response: {'action': 'echo', 'time': 1569768028.824575, 'code': 200, 'data': 'Test', 'key': None}
2019-09-29 17:43:04,125 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569768180.070649} - Response: {'action': 'echo', 'time': 1569768173.98241, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 17:43:07,933 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569768180.070649} - Response: {'action': 'echo', 'time': 1569768173.98241, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 17:43:21,013 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Testing', 'time': 1569768180.070649} - Response: {'action': 'echo', 'time': 1569768173.98241, 'code': 200, 'data': 'Testing', 'key': None}
2019-09-29 17:43:40,741 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569768180.070649} - Response: {'action': 'timestamp', 'time': 1569768173.98241, 'code': 200, 'data': 1569768220.741828, 'key': None}
2019-09-29 17:43:53,764 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': 'q', 'time': 1569768180.070649} - Response: {'action': 'server shutdown', 'time': 1569768173.98241, 'code': 401, 'data': '401: Unauthorized. Please enter the password', 'key': None}
2019-09-29 17:44:14,501 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569768180.070649} - Response: {'action': 'server shutdown', 'time': 1569768173.98241, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 17:47:19,676 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Privet', 'time': 1569768421.322948} - Response: {'action': 'echo', 'time': 1569768418.069653, 'code': 200, 'data': 'Privet', 'key': None}
2019-09-29 17:47:32,036 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'q', 'time': 1569768421.322948} - Response: {'action': 'timestamp', 'time': 1569768418.069653, 'code': 200, 'data': 1569768452.036769, 'key': None}
2019-09-29 17:47:44,756 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569768427.299956} - Response: {'action': 'echo', 'time': 1569768418.069653, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 17:48:21,220 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569768427.299956} - Response: {'action': 'server shutdown', 'time': 1569768418.069653, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 19:55:08,901 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569776104.564569} - Response: {'action': 'echo', 'time': 1569776099.363486, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 19:55:20,981 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569776104.564569} - Response: {'action': 'server shutdown', 'time': 1569776099.363486, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 19:56:13,277 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569776167.075313} - Response: {'action': 'server shutdown', 'time': 1569776157.31044, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 19:57:06,845 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569776221.652284} - Response: {'action': 'server shutdown', 'time': 1569776219.442198, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 20:13:39,555 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Privet', 'time': 1569777214.584146} - Response: {'action': 'echo', 'time': 1569777209.783986, 'code': 200, 'data': 'Privet', 'key': None}
2019-09-29 20:15:32,675 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569777214.584146} - Response: {'action': 'server shutdown', 'time': 1569777209.783986, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
------------------------------------------------------------------------
2019-09-29 20:17:21,763 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569777435.719465} - Response: {'action': 'timestamp', 'time': 1569777432.810246, 'code': 200, 'data': 1569777441.763292, 'key': None}
2019-09-29 20:24:50,051 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569777777.919442} - Response: {'action': 'timestamp', 'time': 1569777741.181155, 'code': 200, 'data': 1569777890.051416, 'key': None}
2019-09-29 20:27:49,226 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569778063.153257} - Response: {'action': 'echo', 'time': 1569778059.549899, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 20:29:41,521 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569778178.569445} - Response: {'action': 'echo', 'time': 1569778174.15326, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 21:02:53,781 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569780133.257393} - Response: {'action': 'server shutdown', 'time': 1569780127.669344, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 21:05:41,005 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569780314.946258} - Response: {'action': 'server shutdown', 'time': 1569780312.426001, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 21:32:15,419 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'Privet', 'time': 1569781929.712615} - Response: {'action': 'echo', 'time': 1569781906.191548, 'code': 200, 'data': 'Privet', 'key': None}
2019-09-29 21:35:11,450 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': 'qwe', 'time': 1569781924.7848} - Response: {'action': 'timestamp', 'time': 1569781906.191548, 'code': 200, 'data': 1569782111.450585, 'key': None}
2019-09-29 21:35:36,370 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569781929.712615} - Response: {'action': 'echo', 'time': 1569781906.191548, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-29 21:36:44,898 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569781929.712615} - Response: {'action': 'server shutdown', 'time': 1569781906.191548, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-29 21:38:02,906 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569782275.307023} - Response: {'action': 'server shutdown', 'time': 1569782270.179742, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
2019-09-30 00:21:26,256 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569792074.546792} - Response: {'action': 'echo', 'time': 1569792036.992399, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-30 00:21:30,024 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569792074.546792} - Response: {'action': 'timestamp', 'time': 1569792036.992399, 'code': 200, 'data': 1569792090.024104, 'key': None}
2019-09-30 00:22:54,095 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'qwe', 'time': 1569792134.951881} - Response: {'action': 'echo', 'time': 1569792036.992399, 'code': 200, 'data': 'qwe', 'key': None}
2019-09-30 00:23:10,920 - DEBUG - Controller: timestamp_controller, Request: {'action': 'timestamp', 'data': '', 'time': 1569792185.071131} - Response: {'action': 'timestamp', 'time': 1569792036.992399, 'code': 200, 'data': 1569792190.920647, 'key': None}
2019-09-30 00:23:57,096 - DEBUG - Controller: echo_controller, Request: {'action': 'echo', 'data': 'prie', 'time': 1569792134.951881} - Response: {'action': 'echo', 'time': 1569792036.992399, 'code': 200, 'data': 'prie', 'key': None}
2019-09-30 00:24:19,088 - DEBUG - Controller: sh_server_controller, Request: {'action': 'server shutdown', 'data': '12345', 'time': 1569792220.476419} - Response: {'action': 'server shutdown', 'time': 1569792036.992399, 'code': 200, 'data': 'Server has been shutdown', 'key': 'shd'}
